company_name,product_name,avg_ratings_unique,avg_ratings_non_unique,percentage_non_unique
Hetras,"헤트라스 섬유향수 룸스프레이300ml x 2p 선물세트 화이트셔츠, 600ml, 1세트",4.44,,0.0
끌로에,"끌로에 노마드 EDP, 30ml, 1개",4.03,,0.0
아프리모,"아프리모 더바디 남자 향수, 50ml, 1개",4.44,,0.0
록시땅,"록시땅 버베나 EDT, 100ml, 1개",4.06,,0.0
조말론,"조말론 블랙베리 앤 베이 코롱 + 쇼핑백, 1개, 30ml",4.04,4.5,0.44
존바바토스,"존바바토스 아티산 블랙 EDT, 125ml, 1개",4.16,4.5,0.28
그라펜,"그라펜 남성용 오베이션 오 드 퍼퓸, 50ml, 1개",4.19,,0.0
랑방,"랑방 루머2로즈 오 드 퍼퓸, 30ml, 1개",4.35,4.76,3.87
피오라,"피오라 여성용 러브포이즌 페로몬 향수, 50ml, 1개",4.87,,0.0
LaRive,"라리브 카바나 맨 오 드 뚜왈렛, 90ml, 1개",4.27,4.5,0.4
디아르망,"BJ엘린 추천 오리지널 옴므 페로몬 향수남성용 남자 페로몬 향수 70ml, 1개",4.05,,0.0
리베르,"리베르 섬유 향수 탈취제 드레스 퍼퓸 향수 사이 100ml, 1개",4.6,,0.0
라임유,"라임유 CH24 플로럴 오 드 퍼퓸 50ml 니치 향수, 1개",4.74,,0.0
밀크바오밥,"밀크바오밥 바르는 고체향수 스칼렛 다마스크로즈 생장미향 솔리드 퍼퓸, 8g, 1개",4.32,,0.0
불가리,"불가리 블루 옴므 오 드 뚜왈렛, 100ml, 1개",4.25,4.81,4.87
912,"912 밤쉘 니치향수 EDP, 40ml, 1개",4.11,,0.0
겐조,"로 겐조 뿌르 팜므 오 드 뚜왈렛, 50ml, 1개",4.24,4.71,0.81
클린,"클린 퓨어솝 EDP 오 드 퍼퓸, 30ml, 1개",4.16,,0.0
몽블랑,"몽블랑 엠블럼 EDT, 100ml, 1개",4.49,4.7,1.53
레인필드,"레인필드 오 드 퍼퓸, 1개, 20ml",3.1,,0.0
메종마르지엘라,"모스키노 아이 러브러브 오드뚜왈렛, 30ml, 1개",4.37,,0.0
랄프로렌,"랄프 바이 랄프로렌 오데토일렛, 100ml, 1개",4.52,,0.0
딥디크,"딥티크 롬브르 단 로 EDT, 50ml, 1개",4.43,,0.0
러쉬,"러쉬 더티 솔리드 퍼퓸 고체 향수, 6g, 1개",4.33,,0.0
조마드,"조마드 옴므 블루밍나잇 오드 퍼퓸, 50ml, 1개",3.87,4.6,0.33
아리아나그란데,"아리아나 그란데 클라우드 오드퍼퓸, 100ml, 1개",4.39,,0.0
디올,"크리스챤 디올 소바쥬 오드퍼퓸 100ML (남자향수1위) (쇼핑백증정) (무료배송) (당일배송), 1개",4.6,,0.0
에르게니아,"에르게니아 업세스 머스크 퍼퓸 니치 향수 오 드 퍼퓸, 50ml, 1개",4.32,,0.0
