review_uid,product_name,product_price,product_type,username_1,username_2,rating,review_content,review_date
103520,,,,,네이버 페이 구****,5,휴대용으로 구매햇엉ᆢ(2024-02-22 19:08:22 에 등록된 네이버 페이 구매평),2024.2.23
103422,,,,,Ha****,5,좋운 상품 좋은가격에 구입 최고 아주 잘쓰고 있습니다아아아,2024.2.15
103246,,,,,네이버 페이 구****,5,남자인 저한텐 알맞는향이 딱히 없네요 ㅠ그나마 SUNLIT WINDOW 낫네요..(2024-01-28 16:48:44 에 등록된 네이버 페이 구매평),2024.1.29
103177,,,,,박****,5,처음 알게된 브랜드인데 향도 좋고 지속력도 좋아요. 마음에 들어요 ^^,2024.1.22
103176,,,,,정****,5,여러가지 향 경험하기에 좋은 것 같아요.,2024.1.22
103157,,,,,송****,5,제품 마음에 들어요. 잘 쓰겠습니다.,2024.1.19
103156,,,,,최****,5,"향수치고 가격도 크게 부담 없고, 다양한 향을 체험할 수 있어서 괜찮은 거 같아요. 아직 다 시향해보진 못했는데 제일 좋은걸로 본품 구매 할게요!",2024.1.19
103155,,,,,김****,5,향이 좋아도 본인 체취랑 잘 안맞으면 본품사고도 손이 안가는데 테스트로 구매할 수 있어서 좋아요 ^^배송도 빠르고 전체적으로 만족감이 높습니다,2024.1.19
103154,,,,,김****,5,휴대용으로 가지고 다니기 좋아요.4가지 향도 서로 겹치지 않아서 만족!,2024.1.19
103120,,,,,송****,5,시크릿가든으로 본품 구매하러 들어왔다가 후기 남겨요. 전반적으로 페미닌한 무드를 가진 향들이 많아요.,2024.1.18
103119,,,,,****,5,"배송이 정말 빨랐고, 향도 맘에 들어요. 개인적으로 한가지는 너무 딥해서 친동생 줬는데 동생은 좋아하네요 ㅎㅎㅎㅎ 3개는 너무 다 제 취향이라 휴대용으로 가지고 다니면서 뿌리고 있어요~~ 휴대용으로 가지고 다닐 수 있게 작은 용량 본품도 있으면 좋겠어요!",2024.1.18
103118,,,,,김****,5,경험 못해본 브랜드라 본품 사기 전에 테스트 겸 구매했어요.무난한 향도 있고 특색있는 향도 있어서 괜찮아요.,2024.1.18
103111,,,,,김****,5,다양한 향을 한번에 시향해볼 수 있어서 좋네요 ^^,2024.1.17
103110,,,,,이****,5,인스타로 처음 알게된 브랜드인데 제품 포장지에 점자가 있더라구요. 세심함이 느껴지는 브랜드라 기억에 오래 남을 것 같아요.,2024.1.17
103109,,,,,정****,5,제 취향은선릿윈도우 > 시크릿가든 > 바이올렛힐 > 어반포레스트였어요 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ달달한 향 좋아하시는 분들 참고하세요~~,2024.1.17
